INFO:__main__:Loading input file: data/processed/test_input_281_sites.csv
INFO:__main__:Starting parallel processing with 25 workers...

================================================================================
UNIVERSAL WEBSITE SCRAPER
================================================================================
Input file:        data/processed/test_input_281_sites.csv
Output file:       data/processed/test_results_quick.csv
Total URLs:        281
Mode:              quick
Workers:           25

Configuration:
  Check static:    True
  Extract emails:  False
  Extract phones:  False
  Scrape mode:     single
  AI analysis:     False

Estimated time:    0.2 min (14.1 sec)
================================================================================

[209/281] 74.4% | ETA: 21s | Speed: 3.5 items/sec | https://www.onehourheatandair.com/houston/?utm_sou - success
[210/281] 74.7% | ETA: 21s | Speed: 3.5 items/sec | http://www.masonshvac.com/                         - success
[211/281] 75.1% | ETA: 20s | Speed: 3.5 items/sec | https://www.serviceexperts.com/dallas-tx/          - success
[212/281] 75.4% | ETA: 20s | Speed: 3.5 items/sec | https://www.leethompsonac.com/                     - http_error_202
[213/281] 75.8% | ETA: 20s | Speed: 3.5 items/sec | https://totallycoolac.com/                         - http_error_403
[214/281] 76.2% | ETA: 19s | Speed: 3.5 items/sec | https://capitolcooling.com/                        - success
[215/281] 76.5% | ETA: 19s | Speed: 3.5 items/sec | https://www.blueair-ac.com/?utm_source=gmb-listing - success
[216/281] 76.9% | ETA: 19s | Speed: 3.5 items/sec | https://www.varsityzone.com/round-rock-tx/         - success
[217/281] 77.2% | ETA: 18s | Speed: 3.5 items/sec | https://www.aircomechanical.com/?utm_source=gmb-li - success
[218/281] 77.6% | ETA: 18s | Speed: 3.5 items/sec | https://fireflyhvac.com/                           - success
[219/281] 77.9% | ETA: 18s | Speed: 3.5 items/sec | http://www.cool512.com/                            - dynamic
[220/281] 78.3% | ETA: 17s | Speed: 3.5 items/sec | https://onairhvac.com/                             - success
